report_date,idx,group_0,group_1,fmt,value,mapped_values
2025-06-30,0040,Delta NII - Parallel shock up,0110,integer,5538211.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0010,Delta EVE -  Parallel shock down,0120,integer,-16320947.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0030,Delta EVE -  Parallel shock down,0120,integer,-10782735.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0040,Delta EVE -  Parallel shock down,0120,integer,-5538211.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0010,Carrying Amount,0010,integer,817225764.0,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0030,Carrying Amount,0010,integer,539136769.0,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0040,Carrying Amount,0010,integer,278088996.0,"['(mi53) Carrying amount [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0010,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0030,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0040,Duration,0020,integer,0.0028,"['(ri1021) Modified duration [ri]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '']"
2025-06-30,0570,Level of MV - Baseline scenario,0130,integer,817225764.0,"['(mi420) Market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0610,Level of MV - Baseline scenario,0130,integer,0.0,"['(mi420) Market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0570,Delta MV - Parallel shock up,0140,integer,833546711.0,"['(mi1005) Changes in market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0610,Delta MV - Parallel shock up,0140,integer,0.0,"['(mi1005) Changes in market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0570,Delta MV -  Parallel shock down,0150,integer,800904818.0,"['(mi1005) Changes in market value [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0610,Delta MV -  Parallel shock down,0150,integer,0.0,"['(mi1005) Changes in market value [mi]', '(BA:x7) Liabilities', '(MC:x31) All liabilities', '(PL:x95) Accounting portfolios for assets measured at fair value', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0010,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0030,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0040,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0010,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0030,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0040,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0010,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0030,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0040,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2025-06-30,0010,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2025-06-30,0030,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2025-06-30,0040,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2025-06-30,0010,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2025-06-30,0030,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2025-06-30,0040,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2025-06-30,0010,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2025-06-30,0030,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2025-06-30,0040,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2025-06-30,0010,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
2025-06-30,0030,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
2025-06-30,0040,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
2025-06-30,0010,Overnight,0070,integer,6356.0,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
2025-06-30,0030,Overnight,0070,integer,4193.0,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
2025-06-30,0040,Overnight,0070,integer,2163.0,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
